Area Name,2001 HDI,HDI 2011,HDI 2021,2031 HDI (Pred),2001 DALY Com,2011 DALY Com,2021 DALY Com,2031 DALY Com (Pred),2001 DALY Noncom,2011 DALY Noncom,2021 DALY Noncom,2031 DALY Noncom (Pred),2001 DALY Inj,2011 DALY Inj,2021 DALY Inj,2031 DALY Inj (Pred),Total M/F Ratio 2001,Disabled M/F Ratio 2001,Total M/F Ratio 2011,Disabled M/F Ratio 2011
INDIA,0.495,0.586,0.633,0.709,24986.39,16308.69,12450.01,8633.95,18393.83,19077.47,20465.66,20369.19852,4854.11,4123.92,3357.39,2671.366222,1.071918856,1.355279367,1.063524352,1.267384135
ANDHRA PRADESH,0.478,0.586,0.630,0.717,25749.53,15646.25,10929.28,7151.02,15614.77,18976.41,20959.98,23758.10242,4834.52,3695.19,3045.13,2100.0487,1.022419343,1.309573442,1.007202773,1.174937725
ARUNACHAL PRADESH,0.499,0.660,0.670,0.781,18780.06,10894.78,8104.54,5723.95,15614.77,15084.39,15449.55,15041.88545,3496.61,2980.51,2373.71,2078.523539,1.119518867,1.990574506,1.065834596,1.140603731
ASSAM,0.486,0.569,0.603,0.670,28111.71,18959.8,13574.45,9627.15,20651.36,20019.05,19353.23,20347.20207,5450.04,4004.6,2782.87,1522.555648,1.069771062,1.278077531,1.044104817,1.155851446
BIHAR,0.432,0.519,0.566,0.640,31633.82,20523.52,13347.01,8864.07,17815.51,16941.85,16411.07,16760.0773,4542.15,3712.14,2668.25,1837.192321,1.087765214,1.496559249,1.089456968,1.359538176
CHHATTISGARH,0.554,0.565,0.613,0.636,32879.71,22231.99,16489.04,12713.11,20343.33,21762.69,21651.49,22121.2468,5458.89,5674.1,4243.35,3754.383522,1.011065405,1.232028663,1.009486243,1.14870171
GOA,0.615,0.747,0.747,0.835,8703.15,5480.14,8843.12,5998.56,17541.23,19907.03,22860.01,20396.34667,3322.94,3082.54,2589.28,2511.223333,1.040622634,1.295772595,1.027432392,1.063765941
GUJARAT,0.526,0.608,0.635,0.699,21741.16,14693.67,11363.43,8260.65,17742.68,19012.76,21905.88,19476.81316,6813.52,4078.23,3470.66,1365.813325,1.086477206,1.373354431,1.087839922,1.278011587
HARYANA,0.546,0.639,0.683,0.760,19931.57,13577.7,11301.25,8221.39,17353,19513.46,20182.21,19087.24896,4470.71,4212.86,3118.47,2729.808147,1.161885796,1.511216702,1.138149918,1.366884566
HIMACHAL PRADESH,0.589,0.667,0.703,0.767,13257.39,9211.46,8767.91,6638.10,18414.43,19665.81,22175.53,21897.41826,3617.38,3885.63,3253.94,3343.676943,1.032769669,1.380697951,1.02930888,1.251119646
JAMMU & KASHMIR,0.53,0.648,0.706,0.804,13669.25,8879.85,7676.11,5431.67,15853.47,16189.93,18141.66,18320.16153,4792.69,3340.07,3003.21,1867.186181,1.120882149,1.313035903,1.125413853,1.310358945
JHARKHAND,0.554,0.566,0.588,0.603,31677.04,19505.74,12037.84,7694.16,18038.38,16663.53,15200.73,14828.87041,4943.48,3584.96,2246.45,997.7778924,1.063108347,1.434873037,1.054334652,1.244159205
KARNATAKA,0.516,0.609,0.661,0.740,17480.04,12332.61,10377.95,7753.77,19186.19,20855.43,22478.15,24043.31713,4682.13,4562.52,3609.9,3319.15456,1.036501503,1.334605734,1.027814631,1.215560396
KERALA,0.604,0.718,0.745,0.830,6449.2,4516.86,7823.63,6146.10,20045.4,22001.63,25105.18,26664.64912,3776.08,3249.04,2843.31,2439.608922,0.944777423,1.138916222,0.9222472932,1.075091859
MADHYA PRADESH,0.456,0.540,0.599,0.675,36002.52,23272.98,14867.36,9645.51,18671.37,18505.98,19625.54,19806.74728,5481.87,4830.66,3918.99,3208.17589,1.087851107,1.41254464,1.0741922,1.340135408
MAHARASHTRA,0.556,0.649,0.683,0.756,17442.08,10871.48,9888.82,6887.26,17972.09,18624.29,21402.28,22218.17687,4153.84,3435.36,3137.4,2569.208036,1.08439611,1.469002619,1.075959394,1.3313474
MANIPUR,0.556,0.696,0.671,0.756,14535.66,10613.26,11252.62,9288.89,16103.29,17167.62,18855.69,18830.9295,3840.64,3611.84,2895.74,3027.248371,1.026510145,1.19628483,1.00777367,1.13885946
MEGHALAYA,0.447,0.634,0.637,0.763,21661.84,14740.89,11100.05,8927.80,14927.35,15067.06,15805.02,15788.9091,2589.78,2317.44,1879.03,1760.568978,1.029186119,1.135770429,1.011372442,1.11123815
MIZORAM,0.571,0.693,0.697,0.780,14004.55,13725.8,10485.95,10485.95,14726.97,16070.55,17228.3,17994.2244,2888.83,2685.35,2120.11,2055.980873,1.069027905,1.209023179,1.024862189,1.177535191
NAGALAND,0.519,0.680,0.667,0.770,14091.6,11674.19,9244.34,8721.95,14070.85,15167.88,16736.27,15389.29378,2986.76,2477.2,2108.92,1885.433636,1.1105595,1.216006021,1.07422108,1.197656308
NCT OF DELHI,0.658,0.708,0.722,0.760,15300.31,9511.21,7690.56,5329.55,16673.01,17746.69,18387.79,17709.4773,3325.23,2857.11,2009.04,1604.286714,1.218468902,1.591755115,1.139310939,1.433934696
PUNJAB,0.575,0.662,0.685,0.751,12871.92,8964.62,8556.34,6521.91,18539.59,20840.32,23200.49,25050.73744,3879.42,4007.73,3179.04,3224.744957,1.141647399,1.472944713,1.117186117,1.38263901
RAJASTHAN,0.466,0.552,0.640,0.727,28739.27,19687.96,13107.22,8879.97,15342.09,16709.98,18265.23,19701.76344,3472.07,3634.52,3076.25,2994.952641,1.086123187,1.47139389,1.077386518,1.185740425
